Name,url
"Abramson, Joy",https://www.cpso.on.ca/DoctorDetails/Joy-Abramson/0265473-93367
"Adler Nevo, Gili Wendy",https://www.cpso.on.ca/DoctorDetails/Gili-Wendy-Adler-Nevo/0217053-82322
"Agarwal, Parul",https://www.cpso.on.ca/DoctorDetails/Parul-Agarwal/0240756-87960
"Ahluwalia, Simran",https://www.cpso.on.ca/DoctorDetails/Simran-Ahluwalia/0210496-81400
"Ajueze, Peter Chukwumah",https://www.cpso.on.ca/DoctorDetails/Peter-Chukwumah-Ajueze/0282232-99521
"Alenezi, Shuliweeh Menwer R",https://www.cpso.on.ca/DoctorDetails/Shuliweeh-Menwer-R-Alenezi/0263921-92628
"Almagor, Doron",https://www.cpso.on.ca/DoctorDetails/Doron-Almagor/0048459-62437
"Armstrong, Sarah Alice",https://www.cpso.on.ca/DoctorDetails/Sarah-Alice-Armstrong/0257026-91773
"Barrett, Elizabeth Ada",https://www.cpso.on.ca/DoctorDetails/Elizabeth-Ada-Barrett/0042953-56931
"Battaglia, Marco Maria",https://www.cpso.on.ca/DoctorDetails/Marco-Maria-Battaglia/0306682-108348
"Bazaid, Khalid Awad Saleh",https://www.cpso.on.ca/DoctorDetails/Khalid-Awad-Saleh-Bazaid/0056727-68315
"Beard, Jonathan Daryl",https://www.cpso.on.ca/DoctorDetails/Jonathan-Daryl-Beard/0260207-92213
"Benjamin, Marcia Dawn",https://www.cpso.on.ca/DoctorDetails/Marcia-Dawn-Benjamin/0142359-71280
"Bond, Jason Anthony",https://www.cpso.on.ca/DoctorDetails/Jason-Anthony-Bond/0291154-102359
"Boyd, Kerry Ellen",https://www.cpso.on.ca/DoctorDetails/Kerry-Ellen-Boyd/0045529-59507
"Brajovic, Andrej",https://www.cpso.on.ca/DoctorDetails/Andrej-Brajovic/0289321-101733
"Brill, Francine",https://www.cpso.on.ca/DoctorDetails/Francine-Brill/0042991-56969
"Bryden, Pier Katharine",https://www.cpso.on.ca/DoctorDetails/Pier-Katharine-Bryden/0051163-65142
"Cadotte, Helene",https://www.cpso.on.ca/DoctorDetails/Helene-Cadotte/0203562-78932
"Chauhan, Rebecca Anne",https://www.cpso.on.ca/DoctorDetails/Rebecca-Anne-Chauhan/0232617-84806
"Crookall, Matthew Jake",https://www.cpso.on.ca/DoctorDetails/Matthew-Jake-Crookall/0265640-93910
"D'Iorio, Anne Marie Michele",https://www.cpso.on.ca/DoctorDetails/Anne-Marie-Michele-DIorio/0022798-27589
"Davis-Faroque, Nicole",https://www.cpso.on.ca/DoctorDetails/Nicole-DavisFaroque/0265658-93260
"Dourova, Nevena Emilova",https://www.cpso.on.ca/DoctorDetails/Nevena-Emilova-Dourova/0249509-89656
"Egan, Raymond Richard",https://www.cpso.on.ca/DoctorDetails/Raymond-Richard-Egan/0047261-61239
"Fadel, Marc",https://www.cpso.on.ca/DoctorDetails/Marc-Fadel/0232803-84654
"Fiacco, Tania",https://www.cpso.on.ca/DoctorDetails/Tania-Fiacco/0312586-111177
"Fitzpatrick, Catherine Mary Renee",https://www.cpso.on.ca/DoctorDetails/Catherine-Mary-Renee-Fitzpatrick/0147096-71980
"Gabel, Kevin David",https://www.cpso.on.ca/DoctorDetails/Kevin-David-Gabel/0232710-84751
"Gopidasan, Balaji",https://www.cpso.on.ca/DoctorDetails/Balaji-Gopidasan/0274359-97225
"Gorman, Daniel Alexander",https://www.cpso.on.ca/DoctorDetails/Daniel-Alexander-Gorman/0150316-83627
"Gray, Clare Elisabeth",https://www.cpso.on.ca/DoctorDetails/Clare-Elisabeth-Gray/0045725-59703
"Grigoreva, Diana",https://www.cpso.on.ca/DoctorDetails/Diana-Grigoreva/0253228-90043
"Henry, Lucas Shawn",https://www.cpso.on.ca/DoctorDetails/Lucas-Shawn-Henry/0312736-112532
"Horne, Pamela Ellen",https://www.cpso.on.ca/DoctorDetails/Pamela-Ellen-Horne/0276229-97086
"Israel, Aliza Tsira",https://www.cpso.on.ca/DoctorDetails/Aliza-Tsira-Israel/0210626-81019
"Isserlin, Leanna Elizabeth",https://www.cpso.on.ca/DoctorDetails/Leanna-Elizabeth-Isserlin/0214309-81390
"Joshi, Suchitra",https://www.cpso.on.ca/DoctorDetails/Suchitra-Joshi/0325635-116807
"Jovanovic, Marijana",https://www.cpso.on.ca/DoctorDetails/Marijana-Jovanovic/0265835-92775
