Name,url
"Abadi, Babak",https://www.cpso.on.ca/DoctorDetails/Babak-Abadi/0053129-67093
"Abadir, Anna Maria A",https://www.cpso.on.ca/DoctorDetails/Anna-Maria-A-Abadir/0288384-101594
"Abate, Amanda Katherine",https://www.cpso.on.ca/DoctorDetails/Amanda-Katherine-Abate/0288804-100336
"Abaya-Comendador, Albina",https://www.cpso.on.ca/DoctorDetails/Albina-AbayaComendador/0036065-50041
"Abbey, Susan Elizabeth",https://www.cpso.on.ca/DoctorDetails/Susan-Elizabeth-Abbey/0036066-50042
"Abd ElMotaal, Essam Ahmed Youssef",https://www.cpso.on.ca/DoctorDetails/Essam-Ahmed-Youssef-Abd-ElMotaal/0256858-91788
"Abd Halim, Siti Rasyidah",https://www.cpso.on.ca/DoctorDetails/Siti-Rasyidah-Abd-Halim/0305584-108106
"Abdool, Petal Shaheba",https://www.cpso.on.ca/DoctorDetails/Petal-Shaheba-Abdool/0244595-87674
"Abdurrahman, Mariam Bolade",https://www.cpso.on.ca/DoctorDetails/Mariam-Bolade-Abdurrahman/0250109-88381
"Abedi-Sohroforouzani, Neda",https://www.cpso.on.ca/DoctorDetails/Neda-AbediSohroforouzani/0322062-113951
"Abi-Jaoude, Elia",https://www.cpso.on.ca/DoctorDetails/Elia-AbiJaoude/0214429-80898
"Abo-El Ella, Shaimaa Mustafa Morsi",https://www.cpso.on.ca/DoctorDetails/Shaimaa-Mustafa-Morsi-AboEl-Ella/0251500-88735
"Abouelnasr, Wahid Aly",https://www.cpso.on.ca/DoctorDetails/Wahid-Aly-Abouelnasr/0047887-61865
"Abouhassan, Russlan",https://www.cpso.on.ca/DoctorDetails/Russlan-Abouhassan/0289073-100656
"Abraham, Gebrehiwot",https://www.cpso.on.ca/DoctorDetails/Gebrehiwot-Abraham/0044732-58710
"Abrams, Karen Michele",https://www.cpso.on.ca/DoctorDetails/Karen-Michele-Abrams/0045349-59327
"Abramson, Joy",https://www.cpso.on.ca/DoctorDetails/Joy-Abramson/0265473-93367
"Acharyya, Partha",https://www.cpso.on.ca/DoctorDetails/Partha-Acharyya/0049264-63242
"Achiume, Patricia Mary",https://www.cpso.on.ca/DoctorDetails/Patricia-Mary-Achiume/0016243-21028
"Ad-Dab'bagh, Yasser Ammar T",https://www.cpso.on.ca/DoctorDetails/Yasser-Ammar-T-AdDabbagh/0222686-83574
"Adam, Christina Marie",https://www.cpso.on.ca/DoctorDetails/Christina-Marie-Adam/0169292-74747
"Adams, Martha Elaine",https://www.cpso.on.ca/DoctorDetails/Martha-Elaine-Adams/0036074-50050
"Adams, Susan Jane",https://www.cpso.on.ca/DoctorDetails/Susan-Jane-Adams/0050904-64883
"Addae, Gina Akosua Oseiwa",https://www.cpso.on.ca/DoctorDetails/Gina-Akosua-Oseiwa-Addae/0042100-56078
"Adebowale, Akinade Oluseyi",https://www.cpso.on.ca/DoctorDetails/Akinade-Oluseyi-Adebowale/0284246-99704
"Adegboyega-Conde, Omotola Ibitayo Laura",https://www.cpso.on.ca/DoctorDetails/Omotola-Ibitayo-Laura-AdegboyegaConde/0270030-96281
"Adel, Anoushirvan",https://www.cpso.on.ca/DoctorDetails/Anoushirvan-Adel/0241784-87702
"Adeponle, Ademola Bernard",https://www.cpso.on.ca/DoctorDetails/Ademola-Bernard-Adeponle/0321606-113987
"Adewuyi, Sunday Adeolu",https://www.cpso.on.ca/DoctorDetails/Sunday-Adeolu-Adewuyi/0312580-110937
"Adiele, Anthony Emeka",https://www.cpso.on.ca/DoctorDetails/Anthony-Emeka-Adiele/0318835-112968
"Adler Nevo, Gili Wendy",https://www.cpso.on.ca/DoctorDetails/Gili-Wendy-Adler-Nevo/0217053-82322
"Afolabi, Oyewale Ademola",https://www.cpso.on.ca/DoctorDetails/Oyewale-Ademola-Afolabi/0305546-107960
"Agarwal, Parul",https://www.cpso.on.ca/DoctorDetails/Parul-Agarwal/0240756-87960
"Agbata, Ifeoma Nwando",https://www.cpso.on.ca/DoctorDetails/Ifeoma-Nwando-Agbata/0315072-113547
"Aggarwal, Dhiraj",https://www.cpso.on.ca/DoctorDetails/Dhiraj-Aggarwal/0200986-79039
"Agid, Ofer",https://www.cpso.on.ca/DoctorDetails/Ofer-Agid/0182586-76591
"Agrawal, Sacha",https://www.cpso.on.ca/DoctorDetails/Sacha-Agrawal/0191069-77900
"Ah-Sue, Sheri Lynn",https://www.cpso.on.ca/DoctorDetails/Sheri-Lynn-AhSue/0247574-88163
"Ahluwalia, Simran",https://www.cpso.on.ca/DoctorDetails/Simran-Ahluwalia/0210496-81400
"Ahmad, Saima Waheed",https://www.cpso.on.ca/DoctorDetails/Saima-Waheed-Ahmad/0233600-85752
"Ahmad, Yusra Naifa",https://www.cpso.on.ca/DoctorDetails/Yusra-Naifa-Ahmad/0269353-94494
"Ahmed, Abul Barkat Mohiuddin",https://www.cpso.on.ca/DoctorDetails/Abul-Barkat-Mohiuddin-Ahmed/0041024-55000
"Ahmed, Adekunle Garba",https://www.cpso.on.ca/DoctorDetails/Adekunle-Garba-Ahmed/0173508-75647
"Ahmed, Iram Jamil",https://www.cpso.on.ca/DoctorDetails/Iram-Jamil-Ahmed/0250019-88745
"Ahmed, Mohammed Sayeed",https://www.cpso.on.ca/DoctorDetails/Mohammed-Sayeed-Ahmed/0284684-99979
"Ahmed, Syed Anwar",https://www.cpso.on.ca/DoctorDetails/Syed-Anwar-Ahmed/0026354-31177
"Ajueze, Peter Chukwumah",https://www.cpso.on.ca/DoctorDetails/Peter-Chukwumah-Ajueze/0282232-99521
"Akhtar, Muhammad Saleem",https://www.cpso.on.ca/DoctorDetails/Muhammad-Saleem-Akhtar/0307454-110284
"Akhtar, Nadeem",https://www.cpso.on.ca/DoctorDetails/Nadeem-Akhtar/0253373-92377
"Akinlaja, Adeola Busola",https://www.cpso.on.ca/DoctorDetails/Adeola-Busola-Akinlaja/0312821-110951
"Akinlosotu, Adewale Anthony",https://www.cpso.on.ca/DoctorDetails/Adewale-Anthony-Akinlosotu/0259032-92222
